City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,cabo san lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
5,hermanus,ZA,72.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,faanui,PF,81.61,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,hobart,AU,61.05,light rain,-42.8794,147.3294,Mantra on Collins Hobart
10,avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
11,georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
12,vanimo,PG,82.56,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
13,ahipara,NZ,70.05,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
15,saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
18,guarumal,PA,79.93,overcast clouds,8.35,-82.5333,Grama la martina
20,victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
21,coro,VE,75.96,overcast clouds,11.4045,-69.6734,Federal
22,atuona,PF,78.51,broken clouds,-9.8,-139.0333,Villa Enata
24,sechura,PE,67.23,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
25,ambilobe,MG,94.75,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
26,sao filipe,CV,76.89,clear sky,14.8961,-24.4956,Hotel Xaguate
28,kabalo,CD,70.63,overcast clouds,-6.05,26.9167,
31,sao gabriel da cachoeira,BR,72.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
33,cape town,ZA,74.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
37,abu dhabi,AE,77.11,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
38,marihatag,PH,82.49,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
39,bredasdorp,ZA,69.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
41,kaitangata,NZ,64.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
42,new norfolk,AU,60.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
44,piranhas,BR,68.38,clear sky,-16.4269,-51.8222,Planalto Hotel
45,arraial do cabo,BR,71.19,clear sky,-22.9661,-42.0278,Pousada Porto Praia
46,basoko,CD,74.07,overcast clouds,1.2391,23.616,Jackyna Hotel
47,hilo,US,67.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,charters towers,AU,84.22,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
50,lamar,US,64.06,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
51,bathsheba,BB,76.69,few clouds,13.2167,-59.5167,Atlantis Hotel
52,rikitea,PF,72.72,moderate rain,-23.1203,-134.9692,People ThankYou
53,bengkulu,ID,84.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,gretna,US,69.01,overcast clouds,29.9147,-90.054,La Quinta Inn by Wyndham New Orleans West Bank / Gretna
55,ugoofaaru,MV,81.9,overcast clouds,5.6667,73.0,Ungoofaaru Inn
56,mitsamiouli,KM,84.33,scattered clouds,-11.3847,43.2844,Foyer ADM
58,bermejo,AR,76.75,overcast clouds,-32.8833,-68.8,Muras Apart Hotel
59,chuy,UY,62.78,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
60,gold coast,AU,80.17,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
61,semporna,MY,85.28,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
63,bambous virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
64,cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
65,meulaboh,ID,84.42,scattered clouds,4.1363,96.1285,Kost Pria
66,busselton,AU,97.39,clear sky,-33.65,115.3333,Observatory Guest House
